adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
#23842957579690171,DP-NewFootage-UKIE-Central+NorthernEurope+18,0,#23842955609960171,DP-2.0-GDPR,0,0,0,APP_INSTALLS,0,PAUSED
#23842956289790171,CP_CreativeTesting2_US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842955610000171,DP-NewFootage-USAUCANZ+13,0,#23842955609960171,DP-2.0-GDPR,0,0,0,APP_INSTALLS,0,PAUSED
#23842954957720171,CP-PenAPACCreatives-US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842954956260171,CP-PenNewEdit-US13+,0,#23842942577440171,CP-i2.0-APAC,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842951196140171,CP_PenFilteredBW-US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842950833850171,CP_PenFilteredViolet_US+13-IG,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842950823220171,CP_NewCreatives_LLTop5%-1%US_US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842949712140171,CP_NewCreatives_US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842949707550171,CP-NewCreatives_Games-US13+,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842946194570171,CP_CreativeTesting_US+13-IG,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842942661750171,CP-Pen-IN_F_+13-0.02CPI,0,#23842942577440171,CP-i2.0-APAC,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842942577510171,CP-Pen-SGHKJPTW+13,0,#23842942577440171,CP-i2.0-APAC,0,0,0,APP_INSTALLS,0,PAUSED
#23842941999350171,CP-Pen-090918>20CV-CPI0.22-US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842941988800171,CP-Pen-090918Top25LL-CPI0.22-US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842941980880171,CP-Pen-090918Top10LL-CPI0.22-US+13,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842941959690171,CP-Pen-US+13-0.18,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842940920260171,CP-Pen-US+13-0.16CPI,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842939934570171,CP-Pen-CNSGKRJPHK+13-0.05CPI,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842939533590171,CP-Pen-US+13-0.12CPI,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842939518610171,CP-Pen-US+13-0.14CPI,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842939475380171,CP-Pen-US+13-0.17CPI,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842938276130171,CP-Pen-US+13-0.15->0.18CPI->auto->0.2CPI,0,#23842938272320171,(NA)-CP-i-2.0-(NA)-CP-iI,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842937836460171,CP_Pen_US_13-44_F_IG-LL,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842934179760171,DP-2.0-CP_10x_LL-US13+f,0,#23842932938140171,DP-2.0,0,0,0,APP_INSTALLS,0,PAUSED
#23842932948940171,DP-2.0-Text-US13-64f,0,#23842932938140171,DP-2.0,0,0,0,APP_INSTALLS,0,PAUSED
#23842932938160171,DP-2.0-Headline-US13+f,0,#23842932938140171,DP-2.0,0,0,0,APP_INSTALLS,0,PAUSED
#23842928586320171,CP_Pen_US_13-44_F_IG,0,#23842917295320171,CP-i-Launch-US+13,0,0,0,APP_INSTALLS,0,PAUSED
#23842928250260171,CP-Launch-US+13-default - MostAdd,0,#23842928250000171,CP-i-Launch-AU+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842928250250171,CP-Launch-US+13-default -game-affinities,0,#23842928250000171,CP-i-Launch-AU+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842928250240171,CP-Launch-US+13 - Dynamic Creative,0,#23842928250000171,CP-i-Launch-AU+13,0,0,0,APP_INSTALLS,0,ARCHIVED
#23842928250230171,CP-Mix-India+13,0,#23842928250000171,CP-i-Launch-AU+13,0,0,0,APP_INSTALLS,0,ARCHIVED
